Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel Metering Sys Desc,Air Aspiration Method Desc,Trans Desc,Cyl Deact?,Var Valve Lift?
2.4,4,34.9126,6,10.0,2,2,unknown,Naturally Aspirated,Manual,N,Y
1.6,4,42.6764,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,N
4.4,8,24.8105,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
,6,26.3118,8,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,N,N
1.6,4,41.9625,5,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Manual,   ,N
3.5,6,24.8097,10,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,59.3377,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Automated Manual,,N
,4,34.3008,8,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,XXXXX,N,N
3.0,6,28.6919,8,,2,2,Common Rail Direct Diesel Injection,Turbocharged,Automatic,N,N
2.7,6,27.4304,10,15.0,2,2,unknown,Turbocharged,Semi-Automatic,N,N
4.0,8,26.3362,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,Y,N
3.0,6,31.7079,8,15.0,2,2,Spark Ignition Direct Injection,Supercharged,Semi-Automatic,,N
,8,23.4876,8,10.0,1,1,unknown,Naturally Aspirated,Automatic,Y,N
1.5,4,34.656,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,34.6007,10,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,,Y
5.0,8,24.3219,8,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,,N
,4,34.876,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Selectable Continuously Variable (e.g. CVT with paddles),N,N
3.0,6,32.3839,8,,2,2,unknown,Turbocharged,Semi-Automatic,,N
,4,43.0891,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,,N
1.4,4,36.4566,6,10.0,2,2,unknown,Turbocharged,Automatic,N,Y
3.5,6,23.8245,6,85.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,N
2.4,4,32.2297,9,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Automatic,N,Y
,4,29.6167,9,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
3.6,6,27.9588,9,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,N,N
,6,26.2333,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,N,N
2.4,4,34.6769,6,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,Y
2.4,4,36.2517,1,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,Y
